CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,,,,
BYTECODE DECIMAL,UNICODE,"TAMANHO
  (points/mm)",,COR,NOMENCLATURA,CÓDIGO UTF-8,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
88,U0058,10,"3,52",PRETO 100%,Samambaias,,,CPRM_Paleontology.otf
89,U0059,10,"3,52",PRETO 100%,Silicoflagelados,,,CPRM_Paleontology.otf
90,U005A,9,"3,17",PRETO 100%,Stromatoporoids,,,CPRM_Paleontology.otf
91,U005B,6,"2,11",PRETO 100%,Traços fósseis,,,CPRM_Paleontology.otf
92,U005C,9,"3,17",PRETO 100%,Trilobitas,,,CPRM_Paleontology.otf
93,U005D,"9,07","3,2",PRETO 100%,Vertebrados,,,CPRM_Paleontology.otf
,,,,,,,,
SIMBOLOGIA DE ESTRUTURAS SEDIMENTARES,,,,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO,,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
162,U00A2,"8,53",3,PRETO 100%,Bimodalidade de grãos,,,CPRM_Sedimentary.otf
163,U00A3,12,"4,23",PRETO 100%,Brecha de colapso,,,CPRM_Sedimentary.otf
164,U00A4,7,"2,46",PRETO 100%,Caliche,,,CPRM_Sedimentary.otf
165,U00A5,12,"4,23",PRETO 100%,Concreção calcítica,,,CPRM_Sedimentary.otf
166,U00A6,12,"4,23",PRETO 100%,Concreção dolomítica,,,CPRM_Sedimentary.otf
167,U00A7,12,"4,23",PRETO 100%,Concreção ferro-magnesífera,,,CPRM_Sedimentary.otf
168,U00A8,12,"4,23",PRETO 100%,Concreção fosfática,,,CPRM_Sedimentary.otf
169,U00A9,12,"4,23",PRETO 100%,Concreção piritosa,,,CPRM_Sedimentary.otf
170,U00AA,12,"4,23",PRETO 100%,Concreção silicosa,,,CPRM_Sedimentary.otf
171,U00AB,"11,34",4,PRETO 100%,Cone-in-cone,,,CPRM_Sedimentary.otf
172,U00AC,"5,67",2,PRETO 100%,Crosta (hardground),,,CPRM_Sedimentary.otf
223,U00DF,"7,09","2,5",PRETO 100%,Dique clástico,,,CPRM_Sedimentary.otf
161,U00A1,14,"4,94",PRETO 100%,Direção de paleocorrente,,Vetor médio - n = número de medidas,CPRM_Sedimentary.otf
174,U00AE,"9,92","3,5",PRETO 100%,Estilólitos,,,CPRM_Sedimentary.otf
175,U00AF,"5,67",2,PRETO 100%,Estratificação cruzada acanalada,,,CPRM_Sedimentary.otf
176,U00B0,7,"2,46",PRETO 100%,Estratificação cruzada de baixo ângulo,,,CPRM_Sedimentary.otf
177,U00B1,7,"2,46",PRETO 100%,Estratificação cruzada espinha-de-peixe,,,CPRM_Sedimentary.otf
178,U00B2,7,"2,46",PRETO 100%,Estratificação cruzada hummocky,,,CPRM_Sedimentary.otf
179,U00B3,"5,67",2,PRETO 100%,Estratificação cruzada sigmoidal,,,CPRM_Sedimentary.otf
180,U00B4,"5,39","1,9",PRETO 100%,Estratificação cruzada swaley,,,CPRM_Sedimentary.otf
181,U00B5,7,"2,46",PRETO 100%,Estratificação cruzada tabular,,,CPRM_Sedimentary.otf
182,U00B6,7,"2,46",PRETO 100%,Estratificação cruzada tangencial,,,CPRM_Sedimentary.otf
183,U00B7,"5,67",2,PRETO 100%,Estratificação de maré,,,CPRM_Sedimentary.otf
186,U00BA,7,"2,46",PRETO 100%,Estrutura convoluta,,,CPRM_Sedimentary.otf
184,U00B8,"5,67",2,PRETO 100%,Estrutura de bola e almofada,,,CPRM_Sedimentary.otf
187,U00BB,4,"1,41",PRETO 100%,Estrutura de corte e preenchimento,,,CPRM_Sedimentary.otf
